flow,hs4,hs6,hs_full,category,hs6_rule,status,ippi_napcs,hs6_desc,hs_full_desc,note
imports,7605,760521,7605210000,Raw Materials,whole,keep,32711,"Wire, of aluminum alloys, of which the maxium cross-sectional dimension > 7 mm","Wire, of aluminum alloys, of which the maxium cross-sectional dimension > 7 mm",
imports,7605,760521,7605210010,Raw Materials,whole,keep,32711,"Wire, of aluminum alloys, of which the maxium cross-sectional dimension > 7 mm","Wire, aluminum alloys, maximum cross-sectional dimension >7 mm but <= 12.7mm",
imports,7605,760521,7605210020,Raw Materials,whole,keep,32711,"Wire, of aluminum alloys, of which the maxium cross-sectional dimension > 7 mm","Wire, aluminum alloys, maximum cross-sectional dimension >12.7mm",
imports,7605,760529,7605290000,Raw Materials,whole,keep,32711,"Wire, aluminium alloy, with a maximum cross sectional dimension of 7mm or less","Wire, aluminium alloy, with a maximum cross sectional dimension of 7mm or less",
imports,7614,761410,7614100000,Overhead Conductor,whole,keep,32711,"Stranded wire, cables, plaited bands, etc, alum, steel core, not elect insul","Stranded wire, cables,plaited bands,etc,alum,steel core,not elect insul",
imports,7614,761490,7614900000,Overhead Conductor,whole,keep,32711,"Stranded wire, cables, plaited bands & the like or alum, not elect insul, nes","Stranded wire,cables,plaited bands, etc, of aluminum, not elect insul, nes",
imports,8504,850421,8504210010,Medium / Substation Transformer,whole,keep,381221,"Liquid dielectric transformers, having a power handling capacity <=650 kVA","Liquid dielectric transformers, with a power handling capacity < 500 kVA",
imports,8504,850421,8504210020,Medium / Substation Transformer,whole,keep,381221,"Liquid dielectric transformers, having a power handling capacity <=650 kVA","Liquid dielectric transformers, with a power handling capacity >= 500 b<= 650 kVA  Transformateurs à diélectrique liquide, puissance >= 500 kVA mais<= 650 kVA",
imports,8504,850422,8504220010,Medium / Substation Transformer,whole,keep,381221,"Liq dielectric transf, having a power handling cap >650 kVA but <= 10,000 kVA","Liquid dielectric transformers, with a power handling capacity > 650 <= 2500 kVA",
imports,8504,850422,8504220020,Medium / Substation Transformer,whole,keep,381221,"Liq dielectric transf, having a power handling cap >650 kVA but <= 10,000 kVA","Liquid dielectric transformers,with a power handling capacity >2500 <=10000 kVA",
imports,8504,850423,8504230000,Medium / Substation Transformer,carveout,keep,381221,"Liq dielectric transf, having a power handling capacity exceeding 10,000 kVA","Liq dielectric transf, having a power handling capacity exceeding 10,000 kVA",
imports,8504,850423,8504230010,Medium / Substation Transformer,carveout,keep,381221,"Liq dielectric transf, having a power handling capacity exceeding 10,000 kVA","Liquid dielectric transf,with a power handling cap >10,000 kVA but <= 59,000 kVA",
imports,8504,850423,8504230020,Medium / Substation Transformer,carveout,keep,381221,"Liq dielectric transf, having a power handling capacity exceeding 10,000 kVA","Liquid dielectric transf,w a power handling cap > 59,000 kVA  but <= 100,000 kVA",
imports,8504,850423,8504230030,Large Power Transformer (≥100 MVA),carveout,keep,381221,"Liq dielectric transf, having a power handling capacity exceeding 10,000 kVA","Liquid dielectric transformers, with a power handling capacity >100,000 kVa",
imports,8504,850431,8504310010,,drop,not_used,P73,"Transformers electric, power handling capacity not exceeding 1 kVA, nes","Baluns, matching transformers, with a power handling capacity <= 1 kVA",
imports,8504,850431,8504310020,,drop,not_used,P73,"Transformers electric, power handling capacity not exceeding 1 kVA, nes","Electric transformers, with a power handling capacity of less than 40 VA, nes",
imports,8504,850431,8504310030,,drop,not_used,P73,"Transformers electric, power handling capacity not exceeding 1 kVA, nes","Electric transformers with a power handling capacity of >= 40 VA but < 1 kVA,nes",
imports,8504,850431,8504310040,,drop,not_used,P73,"Transformers electric, power handling capacity not exceeding 1 kVA, nes","Electric transformers, with a power handling capacity of 1 kVA, nes",
imports,8504,850431,8504310091,,drop,not_used,P73,"Transformers electric, power handling capacity not exceeding 1 kVA, nes","Electric transformers, with a power handling capacity of less than 40 VA, nes",
imports,8504,850431,8504310092,,drop,not_used,P73,"Transformers electric, power handling capacity not exceeding 1 kVA, nes","Electric transformers with a power handling capacity of >= 40 VA but < 1 kVA, nes  Transformateurs électriques, puissance de 40 VA ou plus mais moins de 1 kVA, nda",
imports,8504,850431,8504310093,,drop,not_used,P73,"Transformers electric, power handling capacity not exceeding 1 kVA, nes","Electric transformers, with a power handling capacity of 1 kVA, nes",
imports,8504,850432,8504320000,,drop,not_used,P73,"Transformers electric, power handling capacity > 1 kVA but <= 16 kVA, nes","Electric transformers, with a power handling capacity > 1 kVA but <=16 kVA, nes",
imports,8504,850433,8504330010,Medium / Substation Transformer,whole,keep,381221,"Transformers electric, power handling capacity > 16 kVA but <= 500 kVA, nes","Electric transformers, with a power handling capacity > 16 kVA but <= 50 kVA,nes",
imports,8504,850433,8504330020,Medium / Substation Transformer,whole,keep,381221,"Transformers electric, power handling capacity > 16 kVA but <= 500 kVA, nes","Electric transformers, with a power handling capacity > 50 kVA but <= 500 kVA,nes  Transformateurs électriques, d'une puissance > 50 kVA mais <= 500 kVA, nda",
imports,8504,850434,8504340000,Medium / Substation Transformer,whole,keep,381221,"Transformers electric, having a power handling capacity exceeding 500 kVA, nes","Electric transformers, having a power handling capacity exceeding 500 kVA, nes",
imports,8504,850440,8504401000,Static power converters (incl. HVDC),carveout,not_used,38125,"Static converters, nes","Static converters/commercial battery chargers o/t for miner's safety lamps, etc",
imports,8504,850440,8504402000,Static power converters (incl. HVDC),carveout,not_used,38125,"Static converters, nes","Power supplies, use with surgical/dental/veterinary/diagnostic instruments",
imports,8504,850440,8504403000,Static power converters (incl. HVDC),carveout,not_used,38125,"Static converters, nes","Static converters, power supplies for automatic data processing machines of head",
imports,8504,850440,8504404000,Static power converters (incl. HVDC),carveout,not_used,38125,"Static converters, nes","Static converters, speed drive controllers for electric motors",
imports,8504,850440,8504409031,Static power converters (incl. HVDC),carveout,uncertain,38125,"Static converters, nes","Rectifiers, with or without a device > 100 A for use in the converting element","Rectifiers (AC→DC) — HVDC valve equipment possible, but dominated by industrial use (electroplating, drives). Unverifiable."
imports,8504,850440,8504409032,Static power converters (incl. HVDC),carveout,exclude,38125,"Static converters, nes","Inverters, with or without a device > 100 A for use in the converting element",Inverters — include solar PV (generation-side) and UPS (behind-meter); not T&D grid.
imports,8504,850440,8504409033,Static power converters (incl. HVDC),carveout,uncertain,38125,"Static converters, nes",Alternating curr & cycle converter w or w/o a dev >100A used in the cnvrtg elmnt,"AC & cycle converters >100 A — possible grid, mostly industrial drives. Unverifiable."
imports,8504,850440,8504409034,Static power converters (incl. HVDC),carveout,uncertain,38125,"Static converters, nes","Direct current converters, w or w/o a device > 100 A used in the cnvrtg element","DC converters >100 A — possible grid, largely industrial DC-DC. Unverifiable."
imports,8504,850440,8504409035,Static power converters (incl. HVDC),carveout,exclude,38125,"Static converters, nes","Power supplies, with a device > 100 A employed in the converting element","Power supplies >100 A — industrial/equipment power supplies, behind the meter."
imports,8504,850440,8504409039,Static power converters (incl. HVDC),carveout,uncertain,38125,"Static converters, nes","Semiconductor converters, with a device > 100 A used in the converting elmnt,nes","Semiconductor converters, nes — possible HVDC, mostly industrial power electronics. Unverifiable."
imports,8504,850440,8504409041,Static power converters (incl. HVDC),carveout,not_used,38125,"Static converters, nes","Battery chargers, USB type from AC source",
imports,8504,850440,8504409042,Static power converters (incl. HVDC),carveout,not_used,38125,"Static converters, nes","Battery chargers, USB type from DC source",
imports,8504,850440,8504409049,Static power converters (incl. HVDC),carveout,not_used,38125,"Static converters, nes","Battery chargers, nes",
imports,8504,850440,8504409091,Static power converters (incl. HVDC),carveout,not_used,38125,"Static converters, nes","Battery chargers, non commercial, nes",
imports,8504,850440,8504409092,Static power converters (incl. HVDC),carveout,not_used,38125,"Static converters, nes","Battery chargers, commercial, nes",
imports,8504,850440,8504409093,Static power converters (incl. HVDC),carveout,not_used,38125,"Static converters, nes","Power supplies, nes",
imports,8504,850440,8504409099,Static power converters (incl. HVDC),carveout,exclude,38125,"Static converters, nes","Static converters, nes","Static converters, ""nes"" catch-all — unlabelled; cannot confirm grid use, and a steady ~$0.9B/yr is implausible for HVDC converters."
imports,8504,850450,8504500000,"Substation reactive-power equipment (shunt reactors, capacitor banks, SVC/STATCOM)",drop,exclude,38125,"Inductors, electric","Other electric inductors, nes","Electric inductors, nes — dominated by electronic chokes/ballasts, not grid shunt reactors."
imports,8504,850490,8504901000,Raw Materials,whole,keep,38122,"Parts of electrical transformers, static converters and inductors","Parts,of printed circuit assemblies for goods of subheadings 8504.40 and 8504.90",
imports,8504,850490,8504901010,Raw Materials,whole,keep,38122,"Parts of electrical transformers, static converters and inductors",Printed circuit assemblies for battery chargers,
imports,8504,850490,8504901020,Raw Materials,whole,keep,38122,"Parts of electrical transformers, static converters and inductors",Printed circuit assemblies for power supplies,
imports,8504,850490,8504901090,Raw Materials,whole,keep,38122,"Parts of electrical transformers, static converters and inductors","Printed circuit assemblies for static converters, nes",
imports,8504,850490,8504902000,Raw Materials,whole,keep,38122,"Parts of electrical transformers, static converters and inductors","Parts of power supplies of auto data processing mach of heading 84.71, nes",
imports,8504,850490,8504909010,Raw Materials,whole,keep,38122,"Parts of electrical transformers, static converters and inductors",Printed circuit assemblies of electric transformers and other inductors,
imports,8504,850490,8504909081,Raw Materials,whole,keep,38122,"Parts of electrical transformers, static converters and inductors","Parts, of electric transformers, having a power handling capacity < 500 kVA",
