REF_DATE,GEO,DGUID,North American Product Classification System (NAPCS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-05,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,102.4,,,,1
2020-06,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,101.4,,,,1
2020-07,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,101.9,,,,1
2020-08,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,100.8,,,,1
2020-09,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,100.8,,,,1
2020-10,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,101.1,,,,1
2020-11,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,100.3,,,,1
2020-12,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,101.5,,,,1
2021-01,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,100.2,,,,1
2021-02,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,101.7,,,,1
2021-03,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,102.7,,,,1
2021-04,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,104,,,,1
2021-05,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,103,,,,1
2021-06,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,105.5,,,,1
2021-07,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,107.1,,,,1
2021-08,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,107,,,,1
2021-09,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,107,,,,1
2021-10,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,110.9,,,,1
2021-11,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,112.4,,,,1
2021-12,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,113.6,,,,1
2022-01,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,114.1,,,,1
2022-02,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,119.2,,,,1
2022-03,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,118,,,,1
2022-04,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,121.1,,,,1
2022-05,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,120.5,,,,1
2022-06,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,120.9,,,,1
2022-07,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,122.6,,,,1
2022-08,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,122.5,,,,1
2022-09,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,124.4,,,,1
2022-10,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,125.8,,,,1
2022-11,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,124.2,,,,1
2022-12,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,124,,,,1
2023-01,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,126.7,,,,1
2023-02,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,127,,,,1
2023-03,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,126.6,,,,1
2023-04,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,129,,,,1
2023-05,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,131.9,,,,1
2023-06,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,126.8,,,,1
2023-07,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,127.9,,,,1
2023-08,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,129.5,,,,1
2023-09,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,130.4,,,,1
2023-10,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,129,,,,1
2023-11,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,129.3,,,,1
2023-12,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,128.1,,,,1
2024-01,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,130.1,,,,1
